P1	GAS deployed version = repo	PASS (1.20.0)
P2	tenant config active/not expired	PASS (guardPin 2345, tz Asia/Jakarta, expire none)
P3	gateway up + licensed	PASS (v1.5.5.0, tier pro, expiry permanent)
P4	gateway->device poll	PASS (onlineCount 1, lastSeen 2026-09-13T12:59:13)
P5	reader reachable + deviceKey matches config	PASS (fw OS-V2.2112, cpu 78C, disk 5552M)
P7	reader baseline person/face/finger	INFO (2/2/3)
P6	gateway Settings.json snapshot sha256	PASS (F5B6F322220F7E0C…)
P9	kiosk service+port+firewall+LAN serve	PASS (CORRECTED — service=Running|port=1|firewall=True/Allow|exe 1.0.2.0, GET / 200, GET /settings.json 200; original FAIL was a nested-quote SSH artefact, not a kiosk fault)
P10	three-way secret agreement	PASS (CORRECTED — tenant=11 3d9353dc4b843bd0 gateway=11 3D9353DC4B843BD0 kiosk=11 3D9353DC4B843BD0; original FAIL was the same nested-quote artefact)
P11	cards available (>=3 in target groups)	PASS (214 available; by DoorGroupID: {'2': 20, '3': 20, '4': 20, '5': 19, '6': 20, '7': 20})
P12	VisitorLog baseline rows	INFO (215 data rows, headers 15)
P8	selectors of record	INFO (LITEVM 1.20.0 | kiosk v1.0.1 d35a46b v1.0.2: version bump for the Tier 1 latency client (csproj + Installer.iss in sync) | gateway 1.5.5.0)
